ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
250,22,11,21-09-2023,1,The product stopped working after a month.,-0.2263,Negative,-0.49 to 0.0
251,16,2,01-02-2024,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
252,6,6,18-03-2025,5,The build quality is  impressive.,0.5106,Positive,0.5 to 1.0
253,75,15,03-08-2024,3,"Great purchase, very satisfied.",0.8016,Mixed Positive,0.5 to 1.0
254,30,19,31-12-2025,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
255,13,16,23-01-2024,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
256,91,3,11-02-2024,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
257,84,13,03-10-2023,3,"Average experience, nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
258,34,7,13-05-2025,4,"Great  purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
259,75,2,24-08-2023,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
260,44,18,07-03-2024,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
261,29,12,15-10-2024,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
262,45,7,07-07-2024,5,Five stars for  the quick delivery.,0,Positive,0.0 to 0.49
263,47,8,21-10-2024,4,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
264,96,18,19-08-2025,4,Shipping was fast and the  item was well-packaged.,0,Positive,0.0 to 0.49
265,22,19,14-05-2024,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
266,62,5,22-02-2025,5,"Excellent product,  highly recommend!",0.7773,Positive,0.5 to 1.0
267,55,19,01-12-2023,3,"The product is  okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
268,98,17,28-10-2023,5,The build quality  is impressive.,0.5106,Positive,0.5 to 1.0
269,75,4,18-11-2023,4,The quality is top-notch.,0,Positive,0.0 to 0.49
270,46,6,25-09-2023,1,The color was different from what was shown.,0,Negative,0.0 to 0.49
271,21,17,08-08-2025,5,The  build quality is impressive.,0.5106,Positive,0.5 to 1.0
272,39,17,26-03-2023,5,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
273,10,2,09-10-2024,5,Shipping was fast and the item was well-packaged.,0,Positive,0.0 to 0.49
274,93,11,07-04-2023,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
275,45,12,03-04-2023,4,Five stars for the quick delivery.,0,Positive,0.0 to 0.49
276,86,1,29-01-2025,5,The quality is top-notch.,0,Positive,0.0 to 0.49
277,22,6,21-03-2025,4,The quality is top-notch.,0,Positive,0.0 to 0.49
278,80,20,01-03-2023,5,Amazing value for the price.,0.7351,Positive,0.5 to 1.0
279,86,5,21-07-2023,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
280,68,19,09-11-2023,4,"Good quality, but could be cheaper.",0.2382,Positive,0.0 to 0.49
281,71,5,19-11-2025,4,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
282,59,5,17-02-2023,3,"Average experience, nothing special.",-0.3089,Mixed Negative,-0.49 to 0.0
283,87,13,14-02-2023,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
284,89,13,01-09-2023,4,"Great purchase, very satisfied.",0.8016,Positive,0.5 to 1.0
285,29,3,25-08-2023,4,"Good quality, but could  be cheaper.",0.2382,Positive,0.0 to 0.49
286,53,16,04-05-2023,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
287,75,6,14-02-2025,5,"I love this product, will  buy again!",0.6696,Positive,0.5 to 1.0
288,68,17,21-06-2024,5,"Excellent product, highly recommend!",0.7773,Positive,0.5 to 1.0
289,87,15,04-10-2023,5,Customer support was  very helpful.,0.6997,Positive,0.5 to 1.0
290,20,14,23-09-2024,2,"Average experience, nothing special.",-0.3089,Negative,-0.49 to 0.0
291,17,7,06-12-2025,5,"I love this product, will buy again!",0.6696,Positive,0.5 to 1.0
292,15,7,19-10-2025,5,Customer support was very helpful.,0.6997,Positive,0.5 to 1.0
293,25,13,14-02-2023,3,Not worth  the money.,-0.1695,Mixed Negative,-0.49 to 0.0
294,63,13,09-11-2023,3,Not worth the money.,-0.1695,Mixed Negative,-0.49 to 0.0
295,61,6,13-10-2024,3,"The product is okay, but the instructions were unclear.",-0.2617,Mixed Negative,-0.49 to 0.0
296,85,18,13-12-2023,4,The  quality is top-notch.,0,Positive,0.0 to 0.49
